Date,Open,High,Low,Close,Adj Close,Volume,ret_1,ret_5,ret_20,ma_5,ma_20,ma_60,bias_20,vol_20,vol_chg,rsi_14,macd,macd_sig,macd_hist,y_updown
1981-03-10,0.101004,0.101004,0.100446,0.100446,0.07873,28380800,-0.047624807964484095,-0.14286958509792835,-0.17432251027770795,0.08651579999999999,0.08935925,0.10140211666666667,-0.11894963308219358,0.036027132003429156,0.8523391812865497,28.88787278362038,-0.004084471666701631,-0.003797425414367379,-0.0002870462523342516,0
1981-03-11,0.097656,0.097656,0.09654,0.09654,0.075669,29859200,-0.03887971548329727,-0.16826230805588227,-0.20642461615907381,0.0834542,0.08837510000000001,0.1009866,-0.14377466050957804,0.036566016983646234,0.052091554853985755,30.95264017419707,-0.004760311648879911,-0.0039900026612698855,-0.0007703089876100258,1
1981-03-12,0.100446,0.101004,0.100446,0.100446,0.07873,59248000,0.04045249705956189,-0.13043958471393857,-0.14692816123090258,0.08109219999999999,0.0876971,0.10070956666666667,-0.10225081559139362,0.03792058208946501,0.9842460615153787,41.24892826521863,-0.004991385006439766,-0.004190279130303862,-0.0008011058761359042,0
1981-03-13,0.099888,0.099888,0.09933,0.09933,0.077856,231302400,-0.01110123205893565,-0.1317013327385268,-0.14832357928129958,0.0787304,0.08701915,0.10053461666666667,-0.10530038503019172,0.0379273853930986,2.9039697542533083,37.974646909006694,-0.005185264303599876,-0.004389276164963065,-0.0007959881386368113,1
1981-03-16,0.103237,0.104353,0.103237,0.103237,0.080918,37228800,0.03932901767365404,-0.02115717275333573,-0.093132200654503,0.0783806,0.08660365,0.10037425,-0.06565138998183102,0.03908821103461774,-0.8390470656595003,46.83529650102741,-0.0050338105984848724,-0.004518183051667427,-0.0005156275468174458,1
1981-03-17,0.108259,0.109375,0.108259,0.108259,0.084854,43747200,0.048641834944017415,0.0777848342436176,-0.0717715910955532,0.0796054,0.0862756,0.10023573333333333,-0.016477428148862428,0.040370657735949285,0.17509025270758127,44.73692127192322,-0.004543802019280979,-0.004523306845190137,-2.049517409084215e-05,1
1981-03-18,0.114955,0.116071,0.114955,0.114955,0.090103,36937600,0.06185919343814095,0.19075182703617077,-0.05504866180048662,0.08249219999999999,0.08601315000000001,0.10008993333333333,0.04754912475592385,0.04169468935818212,-0.15565796210957505,50.589058045080435,-0.003689387297462751,-0.0043565229356446605,0.0006671356381819094,0
1981-03-19,0.114397,0.114397,0.113839,0.113839,0.089228,37811200,-0.009711108398166579,0.13334180109234106,-0.004873696537110228,0.08459180000000001,0.08599129999999999,0.09984936666666666,0.037639854264326846,0.03949843799558502,0.02365069739235892,44.99857102029151,-0.003047730323987363,-0.004094764413313201,0.001047034089325838,1
1981-03-20,0.114955,0.116071,0.114955,0.114955,0.090103,14604800,0.009806338817411664,0.15730322646937944,0.06185919343814095,0.08704120000000001,0.08625374999999999,0.09955048333333334,0.04462704520093344,0.03741301340720249,-0.613744075829384,45.67855933160213,-0.002440475084666327,-0.0037639065475838264,0.0013234314629174994,1
1981-03-23,0.11942,0.120536,0.11942,0.11942,0.093602,22019200,0.03883333518306831,0.15675127907264153,0.08629854002738901,0.089578,0.08662555,0.09921515,0.08053570799839088,0.03815820729293765,0.5076687116564418,52.32487039744783,-0.0016577711212704682,-0.0033426794623211548,0.0016849083410506865,0
1981-03-24,0.11942,0.11942,0.118862,0.118862,0.093165,28156800,-0.004668703660178242,0.09794470502274488,0.12105168160760482,0.09124020000000001,0.08712855,0.09869758333333332,0.06928211246485795,0.03704789894356219,0.2787385554425228,52.94275876909834,-0.0010605099405897045,-0.002886245557974865,0.0018257356173851606,0
1981-03-25,0.117746,0.117746,0.116629,0.116629,0.091415,7056000,-0.018783878065797288,0.014561113392450808,0.03465643498240012,0.0915026,0.08728165,0.09812168333333333,0.047356460378556016,0.03490879357145718,-0.7494033412887828,51.1366884044792,-0.0007200858253487846,-0.002453013611449649,0.0017329277861008645,0
1981-03-26,0.114955,0.114955,0.114397,0.114397,0.089665,12275200,-0.019143466608324666,0.004897565786524227,0.0,0.09158999999999999,0.08728165,0.09756765,0.027306426952285988,0.03509200906870609,0.7396825396825397,50.0,-0.0005847668082757107,-0.0020793642508148617,0.001494597442539151,0
1981-03-27,0.111049,0.111049,0.110491,0.110491,0.086604,12252800,-0.03413818100708188,-0.03883333518306831,-0.06604261927357435,0.0908902,0.08697545,0.09702091666666667,-0.004270745365502511,0.03497594665806001,-0.0018248175182481452,55.55649645750415,-0.0007162659623264206,-0.0018067445931171735,0.001090478630790753,0
1981-03-30,0.110491,0.111607,0.110491,0.110491,0.086604,9900800,0.0,-0.07476335975727022,-0.07042344227982611,0.0894906,0.0866474,0.09645231666666666,-0.0005008805803751641,0.03493832902721436,-0.19195612431444242,62.50238170847889,-0.0008111297900034592,-0.0016076216324944308,0.0007964918424909716,0
1981-03-31,0.110491,0.110491,0.109375,0.109375,0.085729,15993600,-0.010103459424506966,-0.0798153813127247,-0.0666717472483207,0.0880034,0.08634119999999999,0.09591286666666667,-0.0070904736093544375,0.0348835633294692,0.6153846153846154,67.16489216489217,-0.0009460102271862947,-0.0014752993514328037,0.000529289124246509,0
1981-04-01,0.108817,0.108817,0.108259,0.108259,0.084854,34070400,-0.010206581203560106,-0.0717715910955532,-0.06730272486452626,0.0866912,0.08603505,0.09544631666666666,-0.013727544762280058,0.03489062539530597,1.1302521008403361,61.2913931705878,-0.001110705609854476,-0.0014023806031171382,0.00029167499326266224,1
1981-04-02,0.117746,0.118304,0.117746,0.117746,0.09229,31404800,0.08763287529167751,0.02927563709362624,0.019328473602827412,0.0872162,0.08612254999999999,0.09518388333333333,0.07161248708961829,0.0403241316883008,-0.07823800131492442,71.42814726840854,-0.0006338976548525693,-0.0012486840134642244,0.0006147863586116551,1
